レースID,頭数,競馬場,グラウンド,距離,馬番,単勝人気,展開予想,直近タイム指数平均1,差_直近タイム指数平均1_レース平均値,騎手複勝率,条件複勝率1,条件複勝率2,条件複勝率4,条件優勝率1,着番,着番カテゴリ,タイム指数,差_タイム指数_直近ベストタイム指数平均1
230101C09,8,高知,ダ,1400,1,2,差し,43,6.58333375,0.468965517,3.20E-01,0.318990065,9.81E-02,1.17E-01,3,カテゴリ2,43,0
230101C09,8,高知,ダ,1400,2,7,差し,12.66667,-23.74999625,0.213182286,0.289703316,0.318990065,9.81E-02,1.18E-01,8,カテゴリ3,19,6.33333
230101C09,8,高知,ダ,1400,3,6,差し,23.66667,-12.74999625,0.585441404,0.301570681,0.318990065,9.81E-02,1.13E-01,6,カテゴリ3,39,15.33333
230101C09,8,高知,ダ,1400,4,4,差し,36.33333,-0.08333625,0.284084427,0.283420593,0.318990065,9.81E-02,1.17E-01,5,カテゴリ3,41,4.66667
230101C09,8,高知,ダ,1400,5,3,差し,56.33333,19.91666375,0.458850056,0.276788161,3.19E-01,9.81E-02,1.29E-01,4,カテゴリ3,42,-14.33333
230101C09,8,高知,ダ,1400,6,8,追込,28.33333,-8.08333625,0.337373737,0.273030231,0.177346278,9.81E-02,9.48E-02,7,カテゴリ3,30,1.66667
230101C09,8,高知,ダ,1400,7,5,差し,39.66667,3.25000375,0.261243386,0.279031256,0.318990065,9.81E-02,1.17E-01,2,カテゴリ2,43,3.33333
230101C09,8,高知,ダ,1400,8,1,先行,51.33333,14.91666375,0.549426934,3.09E-01,4.10E-01,3.13E-01,1.96E-01,1,カテゴリ1,49,-2.33333
230101C10,8,高知,ダ,1400,1,3,差し,15.66667,-12.9999975,0.351720371,0.319720768,3.19E-01,9.81E-02,1.17E-01,1,カテゴリ1,53,37.33333
230101C10,8,高知,ダ,1400,2,4,差し,30.66667,2.0000025,0.182807399,2.90E-01,0.318990065,9.81E-02,1.18E-01,2,カテゴリ2,46,15.33333
230101C10,8,高知,ダ,1400,3,8,先行,19.66667,-8.9999975,0.145746165,0.301570681,4.10E-01,3.13E-01,1.77E-01,6,カテゴリ3,25,5.33333
230101C10,8,高知,ダ,1400,4,6,追込,26.66667,-1.9999975,0.261243386,0.283420593,1.77E-01,9.81E-02,1.01E-01,4,カテゴリ3,39,12.33333
230101C10,8,高知,ダ,1400,5,1,差し,45.33333,16.6666625,0.403915507,0.276788161,0.318990065,9.81E-02,1.29E-01,3,カテゴリ2,46,0.66667
230101C10,8,高知,ダ,1400,6,5,差し,27,-1.6666675,0.284084427,0.273030231,0.318990065,9.81E-02,1.23E-01,5,カテゴリ3,37,10
230101C10,8,高知,ダ,1400,7,2,差し,34.33333,5.6666625,0.468965517,0.279031256,3.19E-01,9.81E-02,1.17E-01,8,カテゴリ3,18,-16.33333
230101C10,8,高知,ダ,1400,8,7,追込,30,1.3333325,0.211802749,0.309252939,0.177346278,9.81E-02,9.63E-02,7,カテゴリ3,18,-12
230103G02,8,佐賀,ダ,1300,1,4,追込,4.666667,-6.687498913,0.334482759,2.84E-01,0.195517774,1.25E-01,8.05E-02,2,カテゴリ2,31,26.333333
230103G02,8,佐賀,ダ,1300,2,5,差し,12.33333,0.979164087,0.250434783,0.291365171,0.320013661,1.25E-01,1.18E-01,5,カテゴリ3,2,-10.33333
230103G02,8,佐賀,ダ,1300,3,6,追込,-0.6666667,-12.02083261,0.379518072,0.293777135,1.96E-01,1.25E-01,8.31E-02,6,カテゴリ3,1,1.6666667
230103G02,8,佐賀,ダ,1300,4,8,追込,2,-9.354165913,0.241851107,3.03E-01,0.195517774,1.25E-01,1.01E-01,8,カテゴリ3,-22,-24
230103G02,8,佐賀,ダ,1300,5,7,追込,6.5,-4.854165913,0.239190432,0.287157895,0.195517774,1.25E-01,1.01E-01,7,カテゴリ3,-22,-28.5
