race_id,horse_number,race,horse,jockey,frame_number,style,odds,popularity,finish_rank,time_index,note,position_1,position_2,position_3,position_4,weight,weight_delta,impost,last_3_furlongs,finish_time,race_date,course_id,num_horses,race_number,weather_name,weather_id,track_condition_name,track_condition_id,style_name,jockey_place_rate_0,jockey_place_rate_1,jockey_place_rate_2,jockey_place_rate_3,jockey_place_rate_4,jockey_place_rate_5
230101C01,1,230101C01,2019104863,5615,1,3,8.4,4,4,1,,7,4,4,4,405,23,54,41.7,01:28.1,2023/1/1,501,8,1,晴,1,重,3,差し,0.2,0.167,0.171,0.2,0.189,0.21
230101C01,2,230101C01,2009105463,a022d,2,4,319.4,8,6,-19,,6,7,7,6,438,-1,56,41.1,01:29.8,2023/1/1,501,8,1,晴,1,重,3,追込,0.08,0.083,0.086,0.1,0.1,0.09
230101C01,3,230101C01,2019100160,5299,3,3,1.8,1,1,31,,1,1,1,1,531,47,56,40.1,01:25.6,2023/1/1,501,8,1,晴,1,重,3,差し,0.52,0.533,0.529,0.5,0.489,0.48
230101C01,4,230101C01,2019110030,5610,4,3,38.1,6,3,15,,3,3,3,3,451,-7,55,40.7,0:01:27,2023/1/1,501,8,1,晴,1,重,3,差し,0.36,0.367,0.357,0.375,0.356,0.35
230101C01,5,230101C01,2019103820,a0258,5,1,3.9,3,8,-47,,4,5,6,8,474,-10,56,44.5,01:32.1,2023/1/1,501,8,1,晴,1,重,3,逃げ,0.4,0.367,0.371,0.35,0.333,0.32
230101C01,6,230101C01,2019105926,5481,6,4,236.7,7,7,-22,,8,8,8,7,380,-5,54,41.2,0:01:30,2023/1/1,501,8,1,晴,1,重,3,追込,0.36,0.35,0.357,0.35,0.344,0.34
230101C01,7,230101C01,2016110051,a03e2,7,3,3.4,2,2,22,,2,2,2,2,524,0,56,40.4,01:26.4,2023/1/1,501,8,1,晴,1,重,3,差し,0.42,0.383,0.371,0.375,0.356,0.35
230101C01,8,230101C01,2019107073,5564,8,3,37.7,5,5,-5,,5,6,5,5,452,3,56,41.6,01:28.6,2023/1/1,501,8,1,晴,1,重,3,差し,0.14,0.117,0.114,0.125,0.144,0.16
230101C09,1,230101C09,2017101941,5299,1,3,4.7,2,3,43,,7,7,6,6,520,2,56,39.2,01:31.4,2023/1/1,502,8,9,晴,1,重,3,差し,0.56,0.55,0.529,0.537,0.511,0.49
230101C09,2,230101C09,2018102438,a00ab,2,3,127.9,7,8,19,,4,3,4,7,518,-8,56,41.8,01:33.5,2023/1/1,502,8,9,晴,1,重,3,差し,0.16,0.167,0.186,0.163,0.156,0.16
230101C09,3,230101C09,2017109094,5074,3,3,82,6,6,39,,5,5,7,5,439,-7,54,39.7,01:31.7,2023/1/1,502,8,9,晴,1,重,3,差し,0.4,0.467,0.514,0.5,0.456,0.46
230101C09,4,230101C09,2018102737,5496,4,3,19.5,4,5,41,,6,6,5,4,465,-5,56,39.6,01:31.6,2023/1/1,502,8,9,晴,1,重,3,差し,0.28,0.25,0.229,0.237,0.256,0.24
230101C09,5,230101C09,2015101519,5536,5,3,5,3,4,42,,3,4,3,3,505,5,56,39.9,01:31.5,2023/1/1,502,8,9,晴,1,重,3,差し,0.34,0.333,0.343,0.35,0.4,0.38
230101C09,6,230101C09,2016103087,a01bb,6,4,134,8,7,30,,8,8,8,8,483,1,56,39.8,01:32.5,2023/1/1,502,8,9,晴,1,重,3,追込,0.2,0.233,0.243,0.275,0.322,0.33
230101C09,7,230101C09,2015104412,a0258,7,3,34,5,2,43,,2,2,2,2,543,4,56,39.9,01:31.4,2023/1/1,502,8,9,晴,1,重,3,差し,0.4,0.367,0.357,0.362,0.344,0.33
230101C09,8,230101C09,2017101365,5640,8,2,1.3,1,1,49,,1,1,1,1,513,1,56,39.6,01:30.8,2023/1/1,502,8,9,晴,1,重,3,先行,0.76,0.683,0.657,0.7,0.678,0.67
230101C10,1,230101C10,2016101704,a03e2,1,3,5.5,3,1,53,,1,1,1,1,492,-14,56,39.9,01:30.5,2023/1/1,502,8,10,晴,1,重,3,差し,0.38,0.383,0.357,0.375,0.356,0.35
230101C10,2,230101C10,2018100625,5615,2,3,14.7,4,2,46,,6,6,5,2,468,-5,56,39.7,01:31.1,2023/1/1,502,8,10,晴,1,重,3,差し,0.2,0.167,0.157,0.188,0.189,0.19
230101C10,3,230101C10,2016106492,a0256,3,2,30.8,8,6,25,,2,2,2,4,485,-3,56,42.2,0:01:33,2023/1/1,502,8,10,晴,1,重,3,先行,0.12,0.117,0.1,0.113,0.111,0.1
230101C10,4,230101C10,2014101513,a0258,4,4,21.1,6,4,39,,7,7,7,5,488,-2,54,40,01:31.7,2023/1/1,502,8,10,晴,1,重,3,追込,0.42,0.383,0.371,0.375,0.356,0.33
230101C10,5,230101C10,2018102066,5481,5,3,1.6,1,3,46,,4,4,3,3,488,-2,56,40,01:31.1,2023/1/1,502,8,10,晴,1,重,3,差し,0.34,0.317,0.343,0.362,0.344,0.35
230101C10,6,230101C10,2016103710,5496,6,3,20.2,5,5,37,,8,8,8,7,467,-8,54,39.7,01:31.9,2023/1/1,502,8,10,晴,1,重,3,差し,0.28,0.25,0.214,0.237,0.244,0.24
230101C10,7,230101C10,2019103281,5299,7,3,4.6,2,8,18,,5,5,6,6,488,-2,56,42.2,01:33.6,2023/1/1,502,8,10,晴,1,重,3,差し,0.56,0.55,0.543,0.55,0.522,0.5
230101C10,8,230101C10,2013100918,a01ad,8,4,28.4,7,7,18,,3,3,4,8,509,1,56,42.2,01:33.6,2023/1/1,502,8,10,晴,1,重,3,追込,0.26,0.25,0.243,0.225,0.233,0.24
230102K08,1,230102K08,2018101645,5524,1,2,1.5,1,3,59,,1,1,1,1,505,-3,56,41,01:45.9,2023/1/2,903,8,8,曇,2,良,1,先行,0.36,0.433,0.429,0.425,0.456,0.47
230102K08,2,230102K08,2018101499,5365,2,4,35,7,4,50,,8,8,8,7,503,-6,54,40.5,01:46.8,2023/1/2,903,8,8,曇,2,良,1,追込,0.32,0.367,0.4,0.388,0.4,0.39
230102K08,3,230102K08,2019106631,5455,3,3,12.4,5,2,60,,2,2,1,1,496,2,56,40.8,01:45.8,2023/1/2,903,8,8,曇,2,良,1,差し,0.24,0.233,0.243,0.263,0.233,0.27
230102K08,4,230102K08,2019100921,5488,4,3,34.8,6,6,48,,5,5,6,5,456,-8,54,41.1,0:01:47,2023/1/2,903,8,8,曇,2,良,1,差し,0.36,0.333,0.343,0.375,0.378,0.35
230102K08,5,230102K08,2019101672,5590,5,4,62,8,8,45,,5,6,5,5,494,3,56,41.4,01:47.3,2023/1/2,903,8,8,曇,2,良,1,追込,0.2,0.167,0.171,0.163,0.178,0.17
230102K08,6,230102K08,2017104585,5230,6,3,7,3,7,47,,7,7,6,7,529,4,56,41.2,01:47.1,2023/1/2,903,8,8,曇,2,良,1,差し,0.32,0.317,0.329,0.312,0.311,0.29
230102K08,7,230102K08,2017105950,5380,7,3,8.8,4,5,48,,3,3,4,4,443,2,54,41.4,0:01:47,2023/1/2,903,8,8,曇,2,良,1,差し,0.52,0.517,0.514,0.5,0.522,0.54
230102K08,8,230102K08,2019102494,5404,8,2,5.3,2,1,60,,4,4,3,3,480,-1,56,40.2,01:45.8,2023/1/2,903,8,8,曇,2,良,1,先行,0.46,0.45,0.457,0.438,0.444,0.44
230102K12,1,230102K12,2019100316,5365,1,1,1.1,1,1,70,,1,1,1,1,527,6,56,39.8,01:37.6,2023/1/2,902,8,12,曇,2,良,1,逃げ,0.3,0.367,0.371,0.375,0.389,0.4
230102K12,2,230102K12,2018106853,5562,2,4,37.8,7,7,53,,5,4,4,4,459,3,56,40.7,01:39.2,2023/1/2,902,8,12,曇,2,良,1,追込,0.18,0.217,0.229,0.25,0.244,0.24
230102K12,3,230102K12,2018100602,a0105,3,4,137.6,8,8,52,,6,7,7,7,489,7,56,40.4,01:39.3,2023/1/2,902,8,12,曇,2,良,1,追込,0.14,0.15,0.171,0.163,0.156,0.14
230102K12,4,230102K12,2019100905,5404,4,3,10.9,2,6,53,,3,3,2,3,469,6,56,41.1,01:39.2,2023/1/2,902,8,12,曇,2,良,1,差し,0.46,0.45,0.443,0.45,0.444,0.45
230102K12,5,230102K12,2017102620,5380,5,3,20.4,5,3,58,,4,5,5,5,451,5,54,40,01:38.7,2023/1/2,902,8,12,曇,2,良,1,差し,0.52,0.483,0.486,0.487,0.5,0.53
230102K12,6,230102K12,2019101506,5630,6,2,34.4,6,2,60,,2,2,3,2,441,-5,52,40.5,01:38.5,2023/1/2,902,8,12,曇,2,良,1,先行,0.22,0.233,0.271,0.263,0.256,0.27
230102K12,7,230102K12,2015105848,5647,7,4,10.9,3,4,55,,8,8,8,8,450,0,55,39.8,0:01:39,2023/1/2,902,8,12,曇,2,良,1,追込,0.22,0.233,0.257,0.287,0.256,0.24
230102K12,8,230102K12,2019101172,5524,8,3,14.8,4,5,53,,7,6,6,6,447,2,54,40.3,01:39.2,2023/1/2,902,8,12,曇,2,良,1,差し,0.38,0.417,0.414,0.425,0.456,0.46
230103D02,1,230103D02,2020101466,5522,1,3,3.8,3,1,33,,6,3,,,458,3,54,36.5,00:51.9,2023/1/3,200,8,2,晴,1,良,1,差し,0.16,0.183,0.2,0.2,0.189,0.18
230103D02,2,230103D02,2020105970,815,2,4,134.6,8,8,-24,,8,8,,,426,-1,55,39.1,00:54.7,2023/1/3,200,8,2,晴,1,良,1,追込,0.22,0.233,0.243,0.225,0.3,0.31
230103D02,3,230103D02,2020100044,5631,3,3,17,5,7,-12,,7,7,,,451,-1,54,38.7,00:54.1,2023/1/3,200,8,2,晴,1,良,1,差し,0.3,0.3,0.3,0.287,0.3,0.27
230103D02,4,230103D02,2020101235,5338,4,2,6.2,4,2,31,,1,1,,,448,6,54,37.6,0:00:52,2023/1/3,200,8,2,晴,1,良,1,先行,0.24,0.217,0.214,0.2,0.178,0.18
230103D02,5,230103D02,2020100015,5646,5,3,23.7,6,6,5,,3,5,,,472,5,55,38.6,00:53.3,2023/1/3,200,8,2,晴,1,良,1,差し,0.28,0.3,0.3,0.275,0.289,0.3
230103D02,6,230103D02,2020102701,5364,6,3,2.4,1,4,11,,5,6,,,429,-2,54,38.1,0:00:53,2023/1/3,200,8,2,晴,1,良,1,差し,0.3,0.317,0.329,0.312,0.311,0.3
230103D02,7,230103D02,2020103759,5580,7,4,26.5,7,3,31,,2,2,,,495,0,55,37.5,0:00:52,2023/1/3,200,8,2,晴,1,良,1,追込,0.24,0.267,0.3,0.275,0.289,0.29
230103D02,8,230103D02,2020100032,5328,8,2,3.4,2,5,9,,3,4,,,479,-2,55,38.4,00:53.1,2023/1/3,200,8,2,晴,1,良,1,先行,0.52,0.533,0.529,0.487,0.5,0.53
230103G02,1,230103G02,2018103817,5654,1,4,11.6,4,2,31,,3,4,4,2,489,17,53,39.3,01:26.3,2023/1/3,601,8,2,晴,1,重,3,追込,0.4,0.4,0.386,0.4,0.367,0.35
230103G02,2,230103G02,2018106719,5656,2,3,38.4,5,5,2,,6,6,6,5,446,4,52,40.8,01:28.7,2023/1/3,601,8,2,晴,1,重,3,差し,0.18,0.183,0.2,0.2,0.189,0.18
230103G02,3,230103G02,2018101738,5609,3,4,43.5,6,6,1,,7,7,7,6,459,10,56,40.9,01:28.8,2023/1/3,601,8,2,晴,1,重,3,追込,0.42,0.417,0.386,0.388,0.378,0.37
230103G02,4,230103G02,2018100091,5645,4,4,69,8,8,-22,,8,8,8,8,445,2,56,40.9,01:30.7,2023/1/3,601,8,2,晴,1,重,3,追込,0.2,0.233,0.229,0.225,0.222,0.21
230103G02,5,230103G02,2019102670,5502,5,4,50.1,7,7,-22,,5,5,5,7,480,5,54,43.3,01:30.7,2023/1/3,601,8,2,晴,1,重,3,追込,0.26,0.233,0.229,0.237,0.256,0.25
230103G02,6,230103G02,2017101023,5147,6,3,10,3,4,9,,1,1,2,3,417,-4,54,41.4,01:28.1,2023/1/3,601,8,2,晴,1,重,3,差し,0.14,0.133,0.143,0.15,0.167,0.17
230103G02,7,230103G02,2016100135,5534,7,3,1.1,1,1,35,,2,2,1,1,512,-9,56,39.3,0:01:26,2023/1/3,601,8,2,晴,1,重,3,差し,0.38,0.433,0.486,0.487,0.456,0.45
230103G02,8,230103G02,2019106467,5587,8,3,7.2,2,3,13,,4,3,3,4,461,3,54,40.8,01:27.8,2023/1/3,601,8,2,晴,1,重,3,差し,0.2,0.183,0.186,0.2,0.2,0.18
230103N01,1,230103N01,2020103855,5632,1,4,4.1,3,8,14,,8,8,8,,444,-1,55,41.3,01:40.4,2023/1/3,1304,8,1,晴,1,良,1,追込,0.3,0.283,0.257,0.263,0.256,0.25
230103N01,2,230103N01,2020104809,5171,2,2,6.7,4,2,35,,2,2,2,,427,-7,56,40.2,01:38.3,2023/1/3,1304,8,1,晴,1,良,1,先行,0.56,0.55,0.557,0.575,0.556,0.55
230103N01,3,230103N01,2020100545,5053,3,4,34.6,8,4,27,,7,7,7,,387,-3,54,40.1,01:39.1,2023/1/3,1304,8,1,晴,1,良,1,追込,0.38,0.4,0.4,0.412,0.444,0.44
230103N01,4,230103N01,2020102227,5553,4,3,2.2,1,1,39,,5,3,1,,408,6,54,39.7,01:37.9,2023/1/3,1304,8,1,晴,1,良,1,差し,0.28,0.267,0.271,0.275,0.267,0.29
230103N01,5,230103N01,2020100871,5602,5,3,27.6,6,3,32,,4,4,4,,430,6,55,40.3,01:38.6,2023/1/3,1304,8,1,晴,1,良,1,差し,0.24,0.2,0.214,0.225,0.222,0.2
230103N01,6,230103N01,2020109117,5489,6,3,24.9,5,6,18,,3,5,5,,412,-1,54,41.4,0:01:40,2023/1/3,1304,8,1,晴,1,良,1,差し,0.4,0.417,0.414,0.388,0.4,0.4
230103N01,7,230103N01,2020101110,5557,7,3,30.8,7,7,14,,6,6,6,,420,3,54,41.5,01:40.4,2023/1/3,1304,8,1,晴,1,良,1,差し,0.42,0.4,0.4,0.438,0.422,0.41
230103N01,8,230103N01,2020100320,a023e,8,3,3.5,2,5,24,,1,1,3,,421,1,54,41.5,01:39.4,2023/1/3,1304,8,1,晴,1,良,1,差し,0.24,0.233,0.257,0.25,0.267,0.29
230103S08,1,230103S08,2016105130,5294,1,3,23.7,8,8,6,,8,8,8,8,447,1,56,41.7,01:48.6,2023/1/3,703,8,8,曇,2,不,4,差し,0.42,0.383,0.371,0.4,0.389,0.37
230103S08,2,230103S08,2017104235,5552,2,3,10.4,6,7,7,,4,4,5,7,483,5,56,43.2,01:48.5,2023/1/3,703,8,8,曇,2,不,4,差し,0.18,0.217,0.2,0.2,0.2,0.21
230103S08,3,230103S08,2019101575,5577,3,2,4.4,2,3,18,,6,6,4,4,443,1,56,42,01:47.4,2023/1/3,703,8,8,曇,2,不,4,先行,0.26,0.267,0.243,0.25,0.233,0.22
230103S08,4,230103S08,2019101124,5463,4,3,5,3,2,32,,1,1,1,1,447,-8,54,41.5,0:01:46,2023/1/3,703,8,8,曇,2,不,4,差し,0.3,0.283,0.286,0.263,0.3,0.29
230103S08,5,230103S08,2014102888,5542,5,3,8.5,4,5,14,,2,2,3,3,457,-2,56,43.1,01:47.8,2023/1/3,703,8,8,曇,2,不,4,差し,0.22,0.233,0.229,0.225,0.256,0.25
230103S08,6,230103S08,2012103977,5490,6,3,9.2,5,6,13,,5,5,6,5,446,2,56,42.3,01:47.9,2023/1/3,703,8,8,曇,2,不,4,差し,0.46,0.483,0.471,0.5,0.478,0.47
230103S08,7,230103S08,2019100469,5560,7,3,12.2,7,4,17,,7,7,7,5,510,14,56,41.4,01:47.5,2023/1/3,703,8,8,曇,2,不,4,差し,0.24,0.25,0.229,0.237,0.233,0.24
230103S08,8,230103S08,2019109107,a01e8,8,3,2.6,1,1,39,,3,3,1,1,468,9,54,40.6,01:45.3,2023/1/3,703,8,8,曇,2,不,4,差し,0.4,0.45,0.429,0.412,0.4,0.38
230104D11,1,230104D11,2016105987,a0395,1,3,37.2,6,6,46,,4,5,5,6,485,-1,56,39.2,01:32.2,2023/1/4,202,8,11,晴,1,良,1,差し,0.26,0.217,0.214,0.237,0.233,0.23
230104D11,2,230104D11,2016105946,5639,2,4,11.2,5,3,50,,4,4,4,3,487,-3,56,38.9,01:31.8,2023/1/4,202,8,11,晴,1,良,1,追込,0.42,0.4,0.414,0.438,0.422,0.42
230104D11,3,230104D11,2018103636,5616,3,2,8.4,4,5,46,,1,1,1,1,462,-3,52,39.6,01:32.2,2023/1/4,202,8,11,晴,1,良,1,先行,0.14,0.183,0.157,0.175,0.167,0.16
230104D11,4,230104D11,2016100161,815,4,3,5.5,3,8,44,,1,1,3,4,483,-2,56,39.8,01:32.4,2023/1/4,202,8,11,晴,1,良,1,差し,0.2,0.217,0.214,0.237,0.222,0.28
